Entire,15,1 -1 2 0 1,12,0 1,15,0 0,114679
Entire,18,1 -5 -1 1 -2,13,0 1,13,0 1,118006
Entire,14,-4 2 0 1 -2,15,1 0,16,0 0,115178
Entire,12,5 -2 -1 3 -3,13,-1 0,16,0 0,117218
Entire,19,2 2 -1 1 -1,14,1 -1,15,0 0,120951
Entire,14,1 -1 2 1 4,15,2 0,16,-2 0,116383
Entire,16,1 1 -2 0 0,14,0 1,12,1 0,121123
Entire,15,3 3 2 -3 -2,13,1 -1,15,1 0,116207
Entire,15,0 -1 0 0 -1,15,0 0,14,0 0,114134
Entire,14,-1 -1 1 0 -1,16,0 0,16,0 0,120017
Entire,17,2 -1 -1 0 1,16,0 0,16,0 0,116780
Entire,15,1 -1 1 0 0,12,0 1,13,0 0,117715
Entire,15,3 -5 4 1 -1,12,-1 2,16,-1 -1,118023
Entire,10,8 -1 1 0 5,15,0 0,17,0 0,118155
Entire,14,0 0 1 0 0,13,0 0,14,0 0,121026
Entire,16,3 -1 3 -4 3,15,0 0,15,0 1,113319
Entire,12,0 2 -1 -2 0,13,1 0,15,-1 0,117649
Entire,10,5 2 -4 1 -4,15,-1 0,16,0 0,115176
Entire,9,4 0 0 0 0,14,0 -1,15,1 0,116346
Entire,12,1 -3 0 0 1,13,0 0,16,0 -1,119228
Entire,13,-1 -1 -3 1 -4,13,1 0,16,0 0,114202
Entire,14,4 6 2 1 0,12,-1 -2,16,0 0,119709
Entire,9,0 -2 1 -3 0,15,0 1,15,0 0,114996
Entire,18,3 -1 1 -1 -2,12,-1 1,14,-1 0,121116
Entire,15,2 -6 -1 -1 1,16,1 -1,16,1 0,116464
Entire,14,1 -5 -1 3 1,15,0 1,15,-1 1,120680
Entire,18,4 0 -1 0 -1,12,0 -1,15,0 0,113778
Entire,15,0 -4 0 -3 -1,13,1 0,17,0 0,119530
Entire,17,3 -1 0 0 1,16,0 -1,16,0 0,114896
Entire,13,11 0 2 0 -5,16,0 0,16,0 0,114750
Entire,15,6 -2 -1 0 -1,14,0 1,16,0 0,118421
Entire,21,6 -3 -1 2 0,14,0 0,16,0 0,114242
Entire,16,-1 2 3 2 2,16,0 0,16,0 0,114161
Entire,15,1 0 -1 1 -3,11,3 -1,15,1 -1,119953
Entire,13,1 -3 1 2 4,16,0 0,17,-1 -1,119476
Entire,21,9 0 4 1 4,14,2 0,16,-1 0,119327
Entire,14,4 0 0 1 0,14,0 0,14,0 0,119245
Entire,13,0 -4 0 2 1,14,0 -1,17,0 0,115987
Entire,14,4 2 -1 1 0,15,0 0,16,0 0,120458
